LINK,A,B,a0,a1,a2,a3,a4
0,1,13899,19.350242672888502,0,0,0,0.123904463533
1,2,11927,12.730123990426739,0,0,0,2.91040786247
2,2,11679,7.9909424429451192,0,0,0,1.82691871124
3,3,7177,77.40504952841016,0,0,0,4530.33668936
4,3,7288,2.2663753751516555,0,0,0,132.645655244
5,4,7802,8.7558543636516735,0,0,0,2.00179569356
6,4,9469,27.950056424341064,0,0,0,102.240718516
7,4,9374,67.787813122735358,0,0,0,15.4978996623
8,5,14282,10.19988279123312,0,0,0,0.0267519636079
9,6,5,2.8568860521323165,0,0,0,0.00749295979796
10,7,6697,8.3259389926330041,0,0,0,1.90350685703
11,8,929,37.265884195886059,0,0,0,0.238622815611
12,9,13185,119.91406738944214,0,0,0,7018.290181
13,9,1735,8.6221981520113502,0,0,0,1.97123871788
14,9,3374,13.405033997750726,0,0,0,3.06470827566
15,10,14481,1.9408286551840772,0,0,0,7.09951039848
16,11,8388,0.45915146556662489,0,0,0,1.10196351736
17,11,1496,7.9064078631696395,0,0,0,1.80759210406
18,12,3787,1.944089135039778,0,0,0,7.11143716521
19,12,9402,1.9443070467181234,0,0,0,7.11223428155
20,13,3481,14.346169510630231,0,0,0,0.0918621263316
21,14,5139,28.827119048520867,0,0,0,1687.18392236
22,15,5905,6.0568949414589213,0,0,0,22.1559942989
23,15,8715,5.6645086641481068,0,0,0,20.7206535497
24,16,5156,3.6279626312105346,0,0,0,13.2710109967
25,17,16,7.3283541350701062,0,0,0,26.806965286
26,18,4592,19.843118760385106,0,0,0,1.85819420308
27,18,12629,41.023408210636006,0,0,0,2401.00422998
28,18,14566,155.05495433297256,0,0,0,14.5200066975
29,19,4585,8.2669298204585893,0,0,0,483.844086428
30,19,8143,2.4446740820519501,0,0,0,8.94256637239
31,20,1728,18.972763573351092,0,0,0,69.40197009
32,20,7840,20.65220553594466,0,0,0,75.5453334648
33,21,7161,4.6192630614486783,0,0,0,270.354673921
34,21,3559,34.687595207836786,0,0,0,2030.18389877
35,22,3682,61.135755881448077,0,0,0,3578.13294596
36,22,13643,25.273945970986141,0,0,0,1479.22500425
37,22,5956,24.992490395117795,0,0,0,1462.75206702
38,23,6412,5.5203290334965791,0,0,0,0.0353480531993
39,23,12015,25.95234356832631,0,0,0,94.9331269075
40,24,10505,54.232606937243098,0,0,0,3174.1077677
41,24,9230,45.437736050550363,0,0,0,2659.36452422
42,24,14111,8.3428361395170274,0,0,0,488.286705925
43,25,7400,22.755332849040176,0,0,0,1331.81646304
44,25,12020,12.048513544024374,0,0,0,5.71188790235
45,26,2749,33.014073442513634,0,0,0,1932.23658008
46,26,2522,18.096502547814179,0,0,0,66.1966256893
47,27,3217,12.438516012959088,0,0,0,727.997279222
48,27,14275,3.8624367445315388,0,0,0,1.83108112333
49,28,13868,44.827797785645856,0,0,0,2623.66626272
50,28,13206,89.917467597677884,0,0,0,5262.65928327
51,28,2833,90.571904322999004,0,0,0,5300.96193569
52,28,2029,47.866499765434583,0,0,0,2801.51438956
53,29,3650,4.5419564628804263,0,0,0,265.830099336
54,29,8587,6.3694151407631159,0,0,0,372.786985833
55,30,9236,13.073750169256593,0,0,0,2.98896894587
56,30,5004,6.7389612741027225,0,0,0,1.54068616235
57,31,10987,142.49643595287236,0,0,0,8339.98344854
58,31,10388,15.307722764016518,0,0,0,895.925246362
59,31,11874,30.367890161661872,0,0,0,1777.36165555
60,31,6500,18.66040662505333,0,0,0,1092.14999909
61,32,5724,13.228405764932329,0,0,0,1.98426086474
62,32,8905,1.7603965089144329,0,0,0,103.03189444
63,32,12115,4.0101139626856925,0,0,0,0.601517094403
64,33,6921,22.855637209982955,0,0,0,1337.68704293
65,33,13365,46.60078183005642,0,0,0,2727.4348762
66,34,5332,2.514285114441035,0,0,0,9.19720206471
67,34,6963,4.4061040260137165,0,0,0,16.1174358519
68,35,5371,3.2630506895645865,0,0,0,125.301146479
69,35,1574,5.7197424095473446,0,0,0,334.763158858
70,36,9240,2.087349428956732,0,0,0,0.477217519194
71,37,14589,85.727399681885402,0,0,0,5017.42439839
72,37,9189,51.393797144478704,0,0,0,3007.95886351
73,38,238,3.9420147586919545,0,0,0,9.46083542086
74,39,8922,12.407245419674537,0,0,0,0.0325413717721
75,40,42,16.902782731454309,0,0,0,0.0443321396686
76,41,40,3.0803668766646219,0,0,0,0.00807909897302
77,42,5308,2.6954434203332651,0,0,0,0.00706953263717
78,43,9249,1.5542673913112157,0,0,0,5.68547742592
79,44,9257,1.8271060178260248,0,0,0,0.00231099628621
80,45,46,7.0295635885360177,0,0,0,0.0450120610904
81,46,13959,8.3498878940525625,0,0,0,0.0534664292103
82,47,50,1.4855572817853318,0,0,0,0.0018789918744
83,48,9727,10.416503117515376,0,0,0,399.993719713
84,48,12756,71.40081603739452,0,0,0,1.14193724941
85,49,9254,1.5116224488161334,0,0,0,0.00191196013328
86,50,1404,0.40960752504205566,0,0,0,0.000518087872264
87,51,6596,9.6542267904477033,0,0,0,2.20718490865
88,51,4765,0.35124920613651378,0,0,0,0.0803038880056
89,52,6839,3.1331310342873007,0,0,0,183.374838769
90,53,1689,7.395098008713676,0,0,0,432.817807552
91,53,1784,3.5513493340591791,0,0,0,207.852178674
92,54,1680,8.6261700902665783,0,0,0,0.0226244745213
93,55,54,0.40010442553253617,0,0,0,0.00104938255177
94,56,9357,48.198595589463608,0,0,0,2820.95118219
95,56,6258,29.309848588598776,0,0,0,1715.43695443
96,56,9864,94.444738478835774,0,0,0,5527.62986982
97,57,7452,23.266061782092194,0,0,0,1361.70823416
98,57,3233,42.62944640227299,0,0,0,2495.00189277
99,57,14455,43.155866878031432,0,0,0,2525.81205322
100,57,12452,40.351958140760374,0,0,0,2361.70582625
101,58,3728,18.574705061214221,0,0,0,8.80578610309
102,59,612,24.152692511152004,0,0,0,1413.60065909
103,59,821,45.24213037074361,0,0,0,2647.91618082
104,59,11485,93.845375724975852,0,0,0,5492.55056827
105,60,6837,16.116907822451005,0,0,0,7.64060815287
106,60,12857,72.431622475222056,0,0,0,4239.25362452
107,60,8753,7.9266686391711412,0,0,0,0.234864255975
108,60,12153,77.438091514069029,0,0,0,4532.27055958
109,61,10040,20.855842564020968,0,0,0,800.864354458
110,61,9949,5.1701820222129209,0,0,0,198.534989653
111,62,4511,16.960244054788095,0,0,0,992.643456339
112,62,2432,1.6140741102261944,0,0,0,94.4679863324
113,63,9816,4.7647528179856744,0,0,0,17.4293655893
114,63,11905,3.4406042017530436,0,0,0,12.5856578025
115,64,7117,11.438792465850518,0,0,0,439.249630689
116,64,2917,10.750518327286295,0,0,0,412.819903768
117,65,9537,47.114868135102832,0,0,0,10.7715747908
118,65,12934,3.7208704553266538,0,0,0,0.850679116444
119,66,2965,78.517054448696499,0,0,0,4595.41973911
120,66,6906,46.47075378725183,0,0,0,169.989039917
121,67,5405,3.4504875895461944,0,0,0,201.948976434
122,67,4144,13.087751956806063,0,0,0,765.995542054
123,68,9271,43.826669042824257,0,0,0,2565.07253657
124,68,13017,46.59572733968897,0,0,0,2727.13904869
125,69,8552,23.731688934179775,0,0,0,86.8100189636
126,70,12517,14.864959436739207,0,0,0,870.011343348
127,70,71,2.46736087857672,0,0,0,144.40886715
128,71,70,2.46736087857672,0,0,0,144.40886715
129,71,5151,60.271928685751242,0,0,0,3527.57515856
130,71,13749,1.2528126907061441,0,0,0,73.3241995475
131,72,9273,8.5578309867992868,0,0,0,31.3043657496
132,73,6222,2.4291693957416349,0,0,0,142.173608896
133,73,4952,36.610173741894592,0,0,0,2142.7079282
134,74,14465,6.2841575952973638,0,0,0,2.97915619333
135,74,8774,1.877965283680417,0,0,0,109.912920124
136,75,2862,18.676965888090429,0,0,0,68.3199483789
137,75,3276,7.7904920445034032,0,0,0,28.4974560384
138,76,5958,18.009467212418301,0,0,0,1054.05203621
139,76,5772,63.807005597808015,0,0,0,3734.4749504
140,76,10444,71.016976347672212,0,0,0,4156.45769204
141,76,7039,30.40744772493305,0,0,0,1779.6768673
142,77,10095,0.80125905890200333,0,0,0,0.0237410091527
143,77,13832,16.808601694184429,0,0,0,983.76818329
144,77,5097,12.419894114843737,0,0,0,0.367996862662
145,78,10804,22.59555997979249,0,0,0,82.6540831451
146,78,10991,12.64208387522681,0,0,0,1.89631258128
147,78,9856,20.998020033975006,0,0,0,76.810315625
148,79,4140,117.70416921734373,0,0,0,6888.95000449
149,79,10897,16.523533209827924,0,0,0,967.083790973
150,80,3786,14.6639113401984,0,0,0,858.244468013
