1.00,33.91,-118.18
2.00,33.87,-118.11
3.00,33.90,-118.24
4.00,34.03,-118.22
5.00,34.15,-118.28
6.00,34.15,-118.28
7.00,34.15,-118.22
8.00,34.12,-117.78
9.00,33.89,-118.03
10.00,34.15,-118.05
11.00,34.15,-118.05
12.00,34.10,-118.25
13.00,34.21,-118.20
14.00,34.04,-117.93
15.00,34.10,-118.25
16.00,34.06,-118.21
17.00,34.06,-118.21
18.00,34.00,-118.11
19.00,34.18,-118.31
20.00,33.91,-118.17
21.00,34.08,-118.26
22.00,33.97,-118.15
23.00,34.03,-117.81
24.00,34.05,-117.77
25.00,34.13,-118.05
26.00,33.97,-118.28
27.00,34.12,-118.10
28.00,33.94,-118.29
29.00,34.02,-118.05
30.00,34.04,-118.25
31.00,34.14,-118.19
32.00,34.11,-118.34
33.00,33.95,-118.23
34.00,34.07,-117.88
35.00,33.97,-118.29
36.00,34.20,-118.22
37.00,34.11,-117.76
38.00,34.02,-118.07
39.00,34.03,-118.15
40.00,34.02,-118.28
41.00,34.02,-118.28
42.00,34.02,-118.28
43.00,34.14,-118.28
44.00,34.15,-118.11
45.00,33.94,-118.18
46.00,33.94,-118.17
47.00,34.15,-118.11
48.00,33.97,-118.08
49.00,34.15,-118.12
50.00,34.15,-118.11
51.00,34.15,-118.34
52.00,34.13,-117.93
53.00,34.15,-118.34
54.00,34.15,-118.16
55.00,34.15,-118.16
56.00,34.08,-118.12
57.00,34.10,-118.10
58.00,34.16,-118.07
59.00,33.93,-117.99
60.00,33.96,-118.28
61.00,34.09,-118.26
62.00,34.00,-118.16
63.00,33.99,-117.91
64.00,34.06,-118.26
65.00,34.06,-118.25
66.00,34.15,-118.09
67.00,33.88,-118.07
68.00,33.89,-118.18
69.00,34.15,-118.03
70.00,34.19,-118.18
71.00,34.19,-118.18
72.00,34.08,-118.22
73.00,34.03,-118.16
74.00,34.03,-118.15
75.00,34.06,-118.25
76.00,34.09,-117.93
77.00,33.89,-117.86
78.00,34.05,-118.24
79.00,34.03,-117.77
80.00,34.15,-118.16
81.00,34.13,-117.93
82.00,33.92,-117.90
